City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,West Bay,19.3667,-81.4167,79.0,77,30,1.99,KY,2022-12-10 05:12:43
274,Kanniyakumari,8.0833,77.5667,81.21,73,75,18.14,IN,2022-12-10 05:12:44
275,Slave Lake,55.2834,-114.769,13.69,86,5,2.93,CA,2022-12-10 05:13:44
276,Harper,4.375,-7.7169,78.1,84,0,6.24,LR,2022-12-10 05:13:44
277,Hami,42.8,93.45,27.75,35,95,6.51,CN,2022-12-10 05:13:45
278,Celestun,20.8667,-90.4,74.35,72,8,14.63,MX,2022-12-10 05:13:45
279,Lorengau,-2.0226,147.2712,83.61,71,100,4.92,PG,2022-12-10 05:13:46
280,Dondo,-19.6094,34.7431,76.12,86,100,4.0,MZ,2022-12-10 05:13:46
281,Qaanaaq,77.484,-69.3632,7.7,87,100,1.95,GL,2022-12-10 05:13:47
282,Sorland,67.667,12.6934,33.66,56,11,13.44,NO,2022-12-10 05:11:45
283,Outram,1.2829,103.8379,84.22,74,75,3.44,MY,2022-12-10 05:13:47
284,Gobabis,-22.45,18.9667,71.53,54,59,10.04,NA,2022-12-10 05:13:48
285,Pacific Grove,36.6177,-121.9166,53.28,87,40,7.0,US,2022-12-10 05:13:48
286,Boyolangu,-8.1181,111.8935,85.84,59,23,8.14,ID,2022-12-10 05:13:48
287,Maryborough,-25.5333,152.7,74.01,69,100,9.22,AU,2022-12-10 05:13:49
288,La Paz,-16.5,-68.15,40.98,100,40,5.75,BO,2022-12-10 05:13:49
289,Sao Jose Da Coroa Grande,-8.8978,-35.1478,77.65,85,93,9.93,BR,2022-12-10 05:13:50
290,Severo-Kurilsk,50.6789,156.125,27.27,66,99,13.51,RU,2022-12-10 05:13:50
291,Honiara,-9.4333,159.95,82.47,81,99,3.47,SB,2022-12-10 05:13:51
292,Salalah,17.0151,54.0924,80.69,36,0,5.75,OM,2022-12-10 05:13:51
293,Kavieng,-2.5744,150.7967,83.86,71,48,4.92,PG,2022-12-10 05:13:51
294,Olafsvik,64.8945,-23.7142,33.93,74,7,14.03,IS,2022-12-10 05:13:52
295,Tocopilla,-22.092,-70.1979,66.47,71,24,5.48,CL,2022-12-10 05:11:53
296,Ambato,-1.2491,-78.6168,57.9,49,100,1.61,EC,2022-12-10 05:13:52
297,Bar Harbor,44.3876,-68.2039,27.91,65,0,17.27,US,2022-12-10 05:13:53
298,Constantine,36.365,6.6147,54.81,82,75,10.36,DZ,2022-12-10 05:13:53
299,Sao Filipe,14.8961,-24.4956,75.67,78,1,7.25,CV,2022-12-10 05:13:54
300,Khash,28.2211,61.2158,46.54,55,10,7.27,IR,2022-12-10 05:13:54
301,Balabac,7.9868,117.0645,84.04,70,97,12.08,PH,2022-12-10 05:13:54
302,Arlit,18.7369,7.3853,63.43,19,1,0.34,NE,2022-12-10 05:13:55
303,Motygino,58.1831,94.7592,9.34,93,100,11.45,RU,2022-12-10 05:13:55
304,Borovoy,55.4333,86.0833,1.69,85,100,15.66,RU,2022-12-10 05:13:56
305,Richards Bay,-28.783,32.0377,76.98,74,6,12.41,ZA,2022-12-10 05:13:56
306,Ati,13.2154,18.3353,65.66,18,0,9.95,TD,2022-12-10 05:13:56
307,Huaihua,27.5494,109.9592,58.51,52,22,6.42,CN,2022-12-10 05:13:57
308,Asfi,32.2994,-9.2372,63.52,88,99,14.72,MA,2022-12-10 05:13:57
309,Puerto Del Rosario,28.5004,-13.8627,64.15,94,0,4.61,ES,2022-12-10 05:13:58
310,Nurobod,40.9056,69.8023,28.63,70,2,2.35,UZ,2022-12-10 05:13:58
311,Vestmannaeyjar,63.4427,-20.2734,34.97,51,0,3.47,IS,2022-12-10 05:13:59
312,Talnakh,69.4865,88.3972,-23.55,91,40,2.33,RU,2022-12-10 05:13:59
313,Brae,60.3964,-1.353,39.83,68,93,14.47,GB,2022-12-10 05:13:59
314,Namibe,-15.1961,12.1522,67.12,78,12,3.44,AO,2022-12-10 05:14:00
315,Kropotkin,45.4375,40.5756,38.12,67,96,8.61,RU,2022-12-10 05:14:00
316,Bilibino,68.0546,166.4372,-21.46,99,92,4.59,RU,2022-12-10 05:11:44
317,Jishu,44.3167,126.8,19.02,57,3,8.61,CN,2022-12-10 05:14:01
318,Bonito,-21.1211,-56.4819,76.51,67,81,3.13,BR,2022-12-10 05:14:01
319,Ashqelon,31.6693,34.5715,49.89,67,0,4.18,IL,2022-12-10 05:14:02
320,Borger,52.9233,6.7931,28.85,93,7,5.99,NL,2022-12-10 05:14:02
321,Bela Vista De Goias,-16.9728,-48.9533,69.15,92,57,4.38,BR,2022-12-10 05:14:03
322,Antiguo Morelos,22.5495,-99.0812,70.45,86,1,3.0,MX,2022-12-10 05:14:03
323,Geraldton,-28.7667,114.6,75.61,46,1,21.85,AU,2022-12-10 05:10:27
324,Touho,-20.7833,165.2333,81.45,73,10,7.02,NC,2022-12-10 05:14:04
325,Alta Floresta,-9.8756,-56.0861,70.02,98,100,3.02,BR,2022-12-10 05:15:05
326,Luau,-10.7073,22.2247,63.9,95,100,1.83,AO,2022-12-10 05:15:05
327,Lakheri,25.6667,76.1667,70.43,33,0,4.56,IN,2022-12-10 05:15:06
328,Rangoon,16.8053,96.1561,85.96,62,8,8.05,MM,2022-12-10 05:15:06
329,Berezovyy,51.6667,135.7,9.9,68,30,1.63,RU,2022-12-10 05:15:07
330,Lima,-12.0432,-77.0282,66.45,77,0,9.22,PE,2022-12-10 05:12:15
331,Kipushi,-11.7667,27.2333,60.96,95,100,3.13,CD,2022-12-10 05:15:08
332,Chumikan,54.7183,135.315,-0.18,83,97,14.38,RU,2022-12-10 05:15:08
333,Port Blair,11.6667,92.75,86.04,74,40,4.61,IN,2022-12-10 05:15:09
334,Olonets,60.9847,32.9698,26.44,96,99,5.95,RU,2022-12-10 05:15:09
335,Ancud,-41.8697,-73.8203,53.31,93,51,5.23,CL,2022-12-10 05:15:10
336,Sarkand,45.41,79.9186,8.6,74,66,1.63,KZ,2022-12-10 05:15:10
337,Sao Felix Do Xingu,-6.6447,-51.995,71.17,95,99,2.01,BR,2022-12-10 05:15:11
338,Iqaluit,63.7506,-68.5145,-11.31,88,32,11.79,CA,2022-12-10 05:15:11
339,Oyama,36.3,139.8,57.15,39,0,4.5,JP,2022-12-10 05:15:12
340,Barwadih,23.8333,84.1167,74.43,24,83,4.52,IN,2022-12-10 05:15:12
341,Omboue,-1.5746,9.2618,75.79,90,84,3.8,GA,2022-12-10 05:15:14
342,Saint-Pierre,-21.3393,55.4781,82.08,65,12,10.36,RE,2022-12-10 05:15:15
343,Pandan,14.0453,124.1694,77.16,94,100,11.74,PH,2022-12-10 05:15:15
344,Kaa-Khem,51.6833,94.7333,-10.53,87,100,2.51,RU,2022-12-10 05:15:16
345,Basoko,1.2391,23.616,71.11,88,100,2.93,CD,2022-12-10 05:15:16
346,Pouembout,-21.1333,164.9,84.6,68,33,3.58,NC,2022-12-10 05:15:17
